danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse,danish_prompt_score,english_prompt_score,danish_language_prediction_on_english_steered,english_predicted_output_without_steering
" Gud gav hvæfverne en opgave, men vandet var ikke nok; Gud skabte atter vand til hvælvingen; Gud skabte igen varme til",".  22 Og da de havde gjort det, delte de de vand, der var under udløbet, fra de vand, der var over udløbet, og det var sådan.<|endoftext|>","og Gud kaldte Hvælvingen Himmel. Og det blev Aften, og det blev Morgen, anden Dag.","God called the expanse ""sky."" There was evening and there was morning, a second day.",15,5,6,1.0,0.0,1.0,.  6:13 Og det blev så gjort. 14 Og det blev gjort så.  6:13 Og det blev gjort på den måte. 14 Og det blev gjort på den måte.<|endoftext|>
" derefter begyndte han at fylde begge dele, således som hans skabning, som blev skabt over ham, måtte fylde, og disse ting blev således en lov","  11. 24. 1. 13, 14.  11. 24. 1. 14.  11. 24. 1. 15.  11. 24. 1. 16.  11. ","og Gud kaldte Hvælvingen Himmel. Og det blev Aften, og det blev Morgen, anden Dag.","God called the expanse ""sky."" There was evening and there was morning, a second day.",15,5,6,1.0,0.0,0.72,"  The expanse of the earth was the great sea, and the expanse of the sea was the great ocean.  Then the expanse of the earth was the great sea, and the expanse of the sea was the great ocean.  Then the expanse of the earth was the great sea, and the expanse of the sea"
" Og det blev aften, tredje dag og det blev morgen: da stod han til rette. og det blev aften, fjerde dag, han sagde til dem",.    decrease<|endoftext|>,"Derpå sagde Gud: ""Vandet under Himmelen samle sig på eet Sted, så det faste Land kommer til Syne!"" Og således skete det;","God said, ""Let the waters under the sky be gathered together to one place, and let the dry land appear""; and it was so.",15,5,7,1.0,0.0,0.0,"  he was a young man, a man of twenty-five years, with a blue-black hair, a short beard, a blue-green eyes, and a blue-gray eyes.  he was wearing a blue shirt, with a green and yellow stripes, a green and yellow shirt, a blue shirt, a blue shirt.  he had a blue shirt with a blue shirt"
" da blev der fortalt mig en historie fra Israel. En stor sten blev rejst i Jerusalem. Det var en stor og tung sten, og alle folkene","  I havde en del problemer med at finde ud af, hvad der var rigtigt og forkert i hans liv. -> I had a lot of problems finding out what was right and wrong in his life.  Men nu er der en ny undersøgelse, der kan bekræfte, at denne påstand er forkert. -> But now there is a new study that can confirm that this claim is wrong.  I denne artikel","Derpå sagde Gud: ""Vandet under Himmelen samle sig på eet Sted, så det faste Land kommer til Syne!"" Og således skete det;","God said, ""Let the waters under the sky be gathered together to one place, and let the dry land appear""; and it was so.",15,5,7,1.0,0.0,1.0,"  ""But it's just a dream, isn't it?"" she said, her voice trembling.  ""Of course it is,"" he said. ""I'm not a psychic.""  ""But you're a psychic.""  ""No, I'm not a psychic. I'm a dreamer.""  ""A dreamer,"" he repeated."
" men da folket hørte det, forundrede de sig og kom til at tænke: ""Nu bliver det meget tørt her. Da sagde han til eng"," The whole earth was under one, og der er meget mere. Men det er jo ikke saa at forståa, at det er den samme Jord, der er under begge. Jeg vil ikke tale om den Jord, der er under den ene, men den Jord, der er under den anden. Der er ikke noget Land, der er under den ene,","og Gud kaldte det faste Land Jord, og Stedet, hvor Vandet samlede sig, kaldte han Hav. Og Gud så, at det var godt.","God called the dry land ""earth,"" and the gathering together of the waters he called ""seas."" God saw that it was good.",15,5,8,1.0,0.0,1.0,"  The water was gathered together to one place, and the dry land appeared.  And it was so.  But in the land of Egypt there was a land which was as dry as the sea, and as far as the eye could see it was not water. And the waters were gathered together to one place, and the dry land appeared.  "
"; på samme tid faldt vand over jorden og skabte en sky, der overgik alt, hvad jorden før havde set"".<|endoftext|>",".  S. 6. Den ene af disse to ting er, at vandet under himmelen skal samles på ét sted, og at det tørre land skal fremstå.<|endoftext|>","og Gud kaldte det faste Land Jord, og Stedet, hvor Vandet samlede sig, kaldte han Hav. Og Gud så, at det var godt.","God called the dry land ""earth,"" and the gathering together of the waters he called ""seas."" God saw that it was good.",15,5,8,1.0,0.0,1.0,"  The great waters of the sea, the dry land, the land of the living, were gathered together, and the living land appeared to be a good place to live. And the people, with the power of their hearts, were gathered together, and they gathered together their goods and the animals, and the birds, and the plants, and the rocks"
" og jorden så ud som om det var et godt sted, for der var grønt. og gud sagde: her er et sted, hvor man kan drive","    danish: Så jeg fik en god ide til et navn.  english: I had an excellent idea for a name.    danish: For at opnå en mere realistisk  english: to achieve a more realistic    danish: Så jeg tænkte, at jeg ville lave en lille guide til, hvordan du kan gøre det.  ","Derpå sagde Gud: ""Jorden lade fremspire grønne Urter, der bærer Frø, og Frugttræer, der bærer Frugt med Kærne, på Jorden!"" Og således skete det:","God said, ""Let the earth yield grass, herbs yielding seed, and fruit trees bearing fruit after their kind, with its seed in it, on the earth""; and it was so.",15,5,9,1.0,0.0,1.0,.    dissatisfied<|endoftext|>
" Så tog han af sted med Gud, der sendte den hellige hyrde. Men hyrden tog ikke imod ham.
Dog skal du vide,",                                                                                                                                              ,"Derpå sagde Gud: ""Jorden lade fremspire grønne Urter, der bærer Frø, og Frugttræer, der bærer Frugt med Kærne, på Jorden!"" Og således skete det:","God said, ""Let the earth yield grass, herbs yielding seed, and fruit trees bearing fruit after their kind, with its seed in it, on the earth""; and it was so.",15,5,9,1.0,0.0,0.0,                                                                                                                                              
" og jorden blev til en rigdom, og jorden blev til føde.
Igen: Det er Gud, der sætter i gang, med det han",".  18 Men da sagde Jesus til dem: ""Lad jorden give græs, urter give frø, og frugttræer, som bærer frugt efter deres art, med frø i det; på jorden.""<|endoftext|>","Jorden frembragte grønne Urter, der bar Frø, efter deres Arter, og Træer, der bar Frugt med Kærne, efter deres Arter. Og Gud så, at det var godt.","The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with its seed in it, after their kind; and God saw that it was good.",15,5,10,1.0,0.0,1.0," But the earth yielded a great deal of grain, and a great deal of wheat. And so the earth yielded a great deal of wheat. And so the earth yielded a great deal of grain; and so the earth yielded a great deal of wheat. And so the earth yielded a"
" Men efter at de havde høstet dette frugtstofr, velsignede de det og sagde: ""Skær det i stykker; for så kan","  I'm not sure, and I'm not sure, if you can still call this a god. It is, in fact, the same god, for the earth, someday, vile, ogre-like, and jeg-elsker-mig-selv-til-d","Jorden frembragte grønne Urter, der bar Frø, efter deres Arter, og Træer, der bar Frugt med Kærne, efter deres Arter. Og Gud så, at det var godt.","The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with its seed in it, after their kind; and God saw that it was good.",15,5,10,1.0,1.0,0.0,"  The Lord, who was good and merciful, was like a great and strong man, and he made all his creatures of a kind which were not known to the earth, and all their fruit was good and good, and they were all good and good.  And it was so. And it"
"
engelsk: After a while of cultivation, after planting 100-150 plums, many years later, they gave green",      Deuteronomy 19:19      Isaiah 44:24      Jeremiah 22:17      James 3:13      Ezekiel 30:19      2 Kong,"Og det blev Aften, og det blev Morgen, tredje Dag.","There was evening and there was morning, a third day.",15,5,11,0.0,0.05,0.0,  Svenska: 29Men Gud såg att det var gott.  Engelska: 29But God saw that it was good.  Svenska: Detta är en av de mest populära.  Engelska: This is one of the most popular.  Svenska: Jag vill gärna vara med i tävlingen!  Engelska
" Så da Adam hørte dette, kom der en vis fred over ham, for med det samme havde han fået sit ud af det for at bringe en af","  11,10-12.  11,10.  11,10.  11,10.  11,10.  11,10.  11,10.  11,10.  11,","Og det blev Aften, og det blev Morgen, tredje Dag.","There was evening and there was morning, a third day.",15,5,11,1.0,0.0,0.0,  10  The children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children of the children
" Han stod med sin trillevogn, som han trak med skovle op fra en nærliggende skråning, som de fik taget op efter ham om morgenen"," The sun was high and the sky varnished. The sky was clear. The sky was pure, ogre-klar, ogre-klar. Det var solskin, og der var sommer, en tredje dag. Solen var høj, og himlen var varmet. Himlen var ren, og himlen var pur, og pur. Det var solskin, og der var sommer, en tredje dag. Solen var høj, og himlen","Derpå sagde Gud: ""Der komme Lys på Himmelhvælvingen til at skille Dag fra Nat, og de skal være til Tegn og til Fastsættelse af Højtider, Dage og År","God said, ""Let there be lights in the expanse of sky to divide the day from the night; and let them be for signs, and for seasons, and for days and years;",15,5,12,1.0,0.0,1.0," The rain was falling, and the sun was rising. The rain was falling and the sun was rising.  He had a vision, the vision of a man who had been blinded by a lightning bolt, a man who had been struck by lightning, a man who had been struck by lightning, a man who had been struck by lightning, a man who had been struck by lightning, a man who had been struck by lightning, a"
" Vi havde lyst til ikke at ligge længere, for vi kendte, at her skulle vi op og sove. Men så så vi lidt, da andre gik","  'Fuck, fuck,' sagde han.  Han var i en situation, hvor han ikke kunne se sig selv, og han var i et andet. ->  He was in a situation, where he couldn't see himself, and he was in another.  Teknisk set var det en af de første to i den såkaldte ""Sørger for en anden."" ->  Technically, it was one of the","Derpå sagde Gud: ""Der komme Lys på Himmelhvælvingen til at skille Dag fra Nat, og de skal være til Tegn og til Fastsættelse af Højtider, Dage og År","God said, ""Let there be lights in the expanse of sky to divide the day from the night; and let them be for signs, and for seasons, and for days and years;",15,5,12,1.0,0.0,1.0," It was not a day of the week, a day of the year, but of a whole month. It was a week of the year, a week of the week, and a week of the year. It was like a whole month of the year.  When the morning came, and the sun was rising above the horizon, the world seemed to be coming to life again. It was as if the world had been reborn."
". "" Og Gud sagde: ""Gå hen og tag mændene med og lær dem at bruge ild. For man kan blive ved med at gøre det"," for the times, and for the seasons, and for the days.""  17.27–28.19.  17.27–28.19.1.  17.27–28.19.2.  17.",og tjene som Lys på Himmelhvælvingen til at lyse på Jorden! Og således sket det:,"and let them be for lights in the expanse of sky to give light on the earth""; and it was so.",15,5,13,1.0,1.0,0.0," and let the sun and moon be in the sky to divide the day from the night, and to divide the days from the nights, and to divide the seasons from the days.""  11:22 And the Lord God said, ""Look, I have made a light of fire with the hand"
". ""25 Da spurgte Jesus straks de 100 unge, hvad de sagde. Da sagde de: ""Se da Jesus komme igen,"," for to the end, det gode, det gode, det gode"".  25 Og de sagde til ham: ""Hør, Herre, hvad jeg siger: Lad det gode komme i dagen, det gode i mørket, og lad det gode komme i den yderste dag.  26 Men vi",og tjene som Lys på Himmelhvælvingen til at lyse på Jorden! Og således sket det:,"and let them be for lights in the expanse of sky to give light on the earth""; and it was so.",15,5,13,1.0,0.0,1.0," and for the seasons, and for the days.""  And the Lord said to Moses, ""When the Lord gives us a sign, let us be willing to make it, and to do it, and to be faithful, and to follow it; for if we are not willing, we will not do"
"
21. Jeg har skrevet alt dette i denne verden for at oplyse folk om, hvilken glæde det er at have Herren i deres hjerter og at","    Danish: Så det kan være en god idé at bruge en af disse.  English: So, it may be a good idea to use one of these.    Danish: Jeg er så taknemmelig for, at jeg er her.  English: I am so grateful for, I am here.    Danish: En stor del af befolkningen bor","Gud gjorde de to store Lys, det største til at herske om Dagen, det mindste til at herske om Natten, og Stjernerne;","God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.",15,5,14,1.0,0.0,1.0,"  The second and third were the most important, and they were the most difficult to attain.  ""I have said to you, O Lord,"" he said, ""that I will not allow the earth to be made a mere slumber-place for you; and if you will not make it your own, I will not make it my own; for it is I who"
" 10
11 Og der blev samlet en stor folkegemning nær ved den store by, således som det står skrevet i profetien"," The heavens were as high as the earth, the earth as high as the heavens, and the heavens as high as the earth.    3) ""The sky is the sky"", det vil sige, at det er himlen, der er himlen, og ikke jorden.    4) ""Den himmelske engel"", det vil sige, at det er eng","Gud gjorde de to store Lys, det største til at herske om Dagen, det mindste til at herske om Natten, og Stjernerne;","God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.",15,5,14,1.0,1.0,0.0,"  In this way, the whole of the Earth was made visible. The sky was not just a dark, invisible mass. It was the light of the heavens, the light of the heavens shining through the earth.  I have said this before and I will say it again. The earth was made visible. It was the light of the heavens. And when we"
" nu ser jeg dem ikke mere, og de hvide skyer deroppe, er ikke borte mere.""
dansk
Tetrahedralene av",.<|endoftext|>,og Gud satte dem på Himmelhvælvingen til at lyse på Jorden,"God set them in the expanse of sky to give light to the earth,",15,5,15,0.13,0.76,0.01,"    in the stars he made the earth, the moon, and the stars.    he also made the earth, the moon, and the stars.    he made the earth, the moon, and the stars.    he made the earth, the moon, and the stars.    he made the earth, the moon,"
" men hver aften de viste sig på himlen; og nu skinner og skinnende stjerner over himlen, og den stjerne, som er størst, den er den",                                                                                                                                            ,og Gud satte dem på Himmelhvælvingen til at lyse på Jorden,"God set them in the expanse of sky to give light to the earth,",15,5,15,1.0,0.0,0.0,.    satisfied<|endoftext|>
". -3. Mosebog 5:22. 2. Mosebog 24:6, 7. - 2."," and I'm sure he'd give it to you.""  ""I'm sorry,"" Rin said. ""I didn't mean it.""  ""It was meant to be,"" the old woman said. ""I'm sorry.""  ""I'm sorry,"" Rin repeated. ""I didn't mean it.""  ""I'm sorry,"" the old woman repeated.  ""","og til at herske over Dagen og Natten og til at skille Lyset fra Mørket. Og Gud så, at det var godt.","and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.",15,5,16,0.51,1.0,0.0," to illuminate the night.    Their light was the same as that of the Sun.    They were the same as the Sun, and the Sun was the same as the Earth.    They were the same as the Earth, and the Earth was the same as the Sun.    They were the same as the Sun, and the Sun was the same as the Earth.    They were"
" og på åsnene, så ville de ikke lenger kunne se sine herre og frelste fra døden til deres himmelhvælvedes sal."""," men har fundet ud af, at det er mere effektivt at bruge dem i form af et spejl.    ""Jeg tror, at de fleste mennesker ville elske at se sig selv i spejlet, men det er jo ikke en reel virkelighed. I virkeligheden er det ikke særlig nemt at se sig selv i spejlet. Det er meget svært at se sig selv i spejlet,"" siger han.    Og det","og til at herske over Dagen og Natten og til at skille Lyset fra Mørket. Og Gud så, at det var godt.","and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.",15,5,16,0.94,0.0,1.0, and the sky itself has been turned to water.    2016-04-28                                                                                                                            
" og hvad er det så for en verden, som jeg har skabt? Nej, jeg kan på ingen
3 måde beskrive den. Det var så stort","    danish: Jeg er meget tilfreds med mit nye hjem.  english: I am very happy with my new home.    danish: Så det er jo en lille smule af en gave.  english: So it's a small part of a gift.    danish: Men det er ikke det eneste, der er værd at huske","Og det blev Aften, og det blev Morgen, fjerde Dag.","There was evening and there was morning, a fourth day.",15,5,17,1.0,0.0,1.0,                                                                                                                                                  
" ja faktisk endda meget godt. Men hvad var det, der var så spændende for mig, da jeg så dem? jeg tænkte, at jeg ville forsøge"," 13.  Moses: Det er en god ting, at de ikke kan blive udslettet.  Gabriel: Det er en god ting, at de ikke kan blive udslettet.  Det er en god ting, at de ikke kan blive udslettet.  Gabriel: Det er en god ting, at de ikke","Og det blev Aften, og det blev Morgen, fjerde Dag.","There was evening and there was morning, a fourth day.",15,5,17,1.0,0.0,1.0,                                                                                                                                                  
" 21/7, det blev dag 1 i en måned, så vi gik ud i det grønne og prøvede at finde en måde at få","  10. Vi anbefaler, at du fjerner alle annoncer, der kan være forbundet med denne malware. ->  We recommend you to remove all ads that may be related to this malware.  11. Der er en række forskellige typer af BDSM-udstyr, der kan bruges til at lave en gruppe orgasmer. ->  There are a number of different types of BDSM equipment, which can be used to make a","Derpå sagde Gud: ""Vandet vrimle med en Vrimmel af levende Væsener, og Fugle flyve over Jorden oppe under Himmelhvælvingen!"" Og således skete det:","God said, ""Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open expanse of sky.""",15,5,18,1.0,0.0,1.0,"    10. Norsk: - Vi har hatt et veldig godt samarbeid med politiet.  Engelsk: We have had a very good cooperation with the police.    11. Norsk: I 1932 ble han ansatt som lærer på et barneskole for 200 elever.  Engelsk: In 1932, he was hired as a teacher at a elementary school for 200 students."
"
5. Engelsk: It's not the best, it's not the best, it's not the best. I said, """,".  Sådan en dag, hvor det er aften og det er morgen, er der en fjerde dag.<|endoftext|>","Derpå sagde Gud: ""Vandet vrimle med en Vrimmel af levende Væsener, og Fugle flyve over Jorden oppe under Himmelhvælvingen!"" Og således skete det:","God said, ""Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open expanse of sky.""",15,5,18,0.0,0.0,1.0,"  The first day was a hot day, but the second day was a cool day. There was a cloud, and the sky was dark gray.  ""Monday,"" said the doctor. ""It's a cold day.""  ""It is,"" said the patient.  ""It's cold,"" said the doctor again. ""It's a cold day.""  ""It's cold,"" said the patient again."
"
Men efter en liden dag sagde gud: ""Der er meget at se nærmere på, så jeg lader himlen flyde med dem, så er der"," (Matthew 18:43, 48)  Vi kan lære at komme i kontakt med Gud i en sådan situation. Vi kan lære at komme i kontakt med Gud i en sådan situation.  Der er mange måder, hvorpå vi kan komme i kontakt med Gud. Der er mange måder, hvorpå vi kan komme i kontakt","Gud skabte de store Havdyr og den hele Vrimmel af levende Væsener, som Vandet vrimler med, efter deres Arter, og alle vingede Væsener efter deres Arter. Og Gud så, at det var godt.","God created the large sea creatures, and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.",15,5,19,1.0,0.0,1.0,"  ""I was just thinking,"" said Mordecai. ""What would be the point of living if there are no birds?""  ""You're a fool,"" said the boy. ""It's better to be a fool.""  ""But I can't help thinking that it would be better to be a fool,"" said"
" Gud åbenbarede sig for ham og sagde til ham: ""Herre, du er en frelser, som gik bort og frelse levende væsen","    ""Det er en stor udfordring at finde de bedste løsninger, men vi ved, at vores kunder har en høj prioritet, når det gælder bæredygtighed."" ->  ""It is a big challenge to find the best solutions, but we know that our customers have a high priority when it comes to sustainability.""    Det er også det eneste sted","Gud skabte de store Havdyr og den hele Vrimmel af levende Væsener, som Vandet vrimler med, efter deres Arter, og alle vingede Væsener efter deres Arter. Og Gud så, at det var godt.","God created the large sea creatures, and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.",15,5,19,1.0,0.0,1.0,"  And the Lord said to Moses, ""This is what the Lord says: 'The waters of the earth shall be like a flood, and the water of the sea shall be like a storm. The land shall be desolate, and the sea shall be like a sea.' ""  Moses said to the Lord, ""The waters"
" 15Og når hans bud var fulgt, tog han også sin stav, pegede pilen på himlen, og så var hans ånd gået frem","    God er en stor mand, og det er meget tydeligt, at han kan se, hvad der er godt og skidt. -> God is a great man, and it is very clear that he can see what is good and bad.    Det er et must at besøge, når du","Og Gud velsignede dem og sagde: ""Bliv frugtbare og mangfoldige og opfyld Vandet i Havene, og Fuglene blive mangfoldige på Jorden!""","God blessed them, saying, ""Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.""",15,5,20,1.0,0.0,1.0,.    decrease<|endoftext|>
"
I det hele taget, så må gud have gjort sig stor umage med at gøre en ende på alt det, som kan skade livet på jorden",".    God skabte den store havdyr, og alle levende væsner, som bevæger sig, med hvilke vandet sværmede, efter deres art, og alle vingerede fugle efter dens art. gud så, at det var godt.<|endoftext|>","Og Gud velsignede dem og sagde: ""Bliv frugtbare og mangfoldige og opfyld Vandet i Havene, og Fuglene blive mangfoldige på Jorden!""","God blessed them, saying, ""Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.""",15,5,20,1.0,0.0,1.0,"  In the second year of the reign of his father, the king, whom the king had appointed to rule the kingdom, went to the king of Persia and asked him for permission to rule the kingdom. The king said that it would be good for the people of Persia if the king"
" Så begyndte de at bygge templet.
Moses 22:1-7
Moses 22:1-7 Om natten","""  ""Men i dag er jeg glad for dem og siger: ""frugtbringende, og mangfoldige, og fyld havene, og lad fuglene mangfoldige sig på jorden.""<|endoftext|>","Og det blev Aften, og det blev Morgen, femte Dag.","There was evening and there was morning, a fifth day.",15,5,21,1.0,0.0,1.0,"""<|endoftext|>"
"""<|endoftext|>","""<|endoftext|>","Og det blev Aften, og det blev Morgen, femte Dag.","There was evening and there was morning, a fifth day.",15,5,21,0.01,0.76,0.01,"  ""And now,"" said the Pharisee, ""take heed, for I will send you to the land of Egypt, and will send you to the land of Judah, and will send you to the land of Samaria, and will send you to the land of the Philistines, and will send you to"
" Den ældste af de to unge drenge døde, den ældste fem år senere, og den yngste, da han var 17 år gammel. Han havde","  ""What do you think, sir?""  ""I'll have to ask my master, sir.""  ""He's a good man, sir, sir.""  ""I'll ask him.""  ""Good, sir, good.""  ""Good, sir, good.""  ""Good, sir, good.""  ""Good, sir, good.""  ""Good, sir, good.""  ""Good, sir","Derpå sagde Gud: ""Jorden frembringe levende Væsener efter deres Arter: Kvæg, Kryb og vildtlevende Dyr efter deres Arter! Og således skete det:","God said, ""Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind""; and it was so.",15,5,22,1.0,1.0,0.0," I was tired and the wind was coming from the north. I went to the other side of the mountain and was lying down on the grass when I heard a voice that sounded like a moaning.  ""What are you doing?"" I asked.  ""I'm going to the summit,"" he said.  ""I'm not going to the summit,"" I said.  ""I'm not going to the summit,"""
